iso_code,year,location,total_cases_year,total_deaths_year,max_stringency_index,population,life_expectancy,max_total_vaccinations,max_people_vaccinated,max_people_fully_vaccinated,total_daily_vaccinations,num_vaccine_types,death_rate_per_100k,vaccination_rate
SGP,2024,Singapore,81640.0,70.0,,5637022,83.85708962,,,,,,1.2417904347366393,
SLB,2020,Solomon Islands,17.0,0.0,69.44,724272,64.79245685,,,,,,0.0,
SLB,2021,Solomon Islands,5.0,0.0,38.89,724272,64.79245685,235918.0,179973.0,55945.0,241736.0,1.0,0.0,24.848813705348267
SLB,2022,Solomon Islands,21589.0,153.0,86.66,724272,64.79245685,358073.0,235668.0,122405.0,110143.0,1.0,21.124660348598315,32.5386042812645
SLB,2023,Solomon Islands,4343.0,46.0,,724272,64.79245685,,,,,,6.351205072127598,
SLB,2024,Solomon Islands,0.0,0.0,,724272,64.79245685,,,,,,0.0,
SLE,2020,Sierra Leone,2549.0,76.0,88.89,8605723,61.0228635,,,,,,0.8831332358710593,
SLE,2021,Sierra Leone,4110.0,47.0,60.19,8605723,61.0228635,868726.0,703231.0,361089.0,909992.0,2.0,0.5461481853413129,8.17166669203738
SLE,2022,Sierra Leone,1101.0,3.0,47.26,8605723,61.0228635,2134324.0,1727305.0,1114047.0,1152298.0,2.0,0.034860522468594446,20.071584920871842
SLE,2023,Sierra Leone,19.0,0.0,,8605723,61.0228635,,,,,,0.0,
SLE,2024,Sierra Leone,200.0,0.0,,8605723,61.0228635,,,,,,0.0,
SLV,2020,El Salvador,44619.0,1297.0,100.0,6336393,71.66703998,,,,,,20.469058658451267,
SLV,2021,El Salvador,77122.0,2521.0,47.22,6336393,71.66703998,9620698.0,4483699.0,4156783.0,9607295.0,4.0,39.78604231145385,70.76106232678434
SLV,2022,El Salvador,80044.0,412.0,38.89,6336393,71.66703998,10418549.0,4582343.0,4281899.0,750310.0,4.0,6.502121948559694,72.3178470779827
SLV,2023,El Salvador,51.0,0.0,,6336393,71.66703998,,,,,,0.0,
SLV,2024,El Salvador,84.0,0.0,,6336393,71.66703998,,,,,,0.0,
SOM,2020,Somalia,4690.0,127.0,73.61,17597508,53.95143945,,,,,,0.7216930942722117,
SOM,2021,Somalia,18842.0,1206.0,65.74,17597508,53.95143945,1504914.0,1203131.0,810010.0,1396883.0,4.0,6.853243084191239,6.836939639408033
SOM,2022,Somalia,3768.0,28.0,41.67,17597508,53.95143945,2395219.0,1929472.0,1290895.0,843690.0,4.0,0.15911343810725928,10.964461558988921
SOM,2023,Somalia,34.0,0.0,,17597508,53.95143945,,,,,,0.0,
SOM,2024,Somalia,0.0,0.0,,17597508,53.95143945,,,,,,0.0,
SRB,2020,Serbia,323367.0,2983.0,100.0,6871547,72.80891574,,,,,,43.41089422803919,
SRB,2021,Serbia,966126.0,9585.0,61.11,6871547,72.80891574,8239799.0,3309157.0,3207534.0,8238858.0,4.0,139.4882404209707,48.15737999027002
SRB,2022,Serbia,1150237.0,4927.0,36.11,6871547,72.80891574,8494958.0,3347209.0,3269374.0,251277.0,4.0,71.70146693313747,48.711141755997595
SRB,2023,Serbia,143740.0,562.0,,6871547,72.80891574,,,,,,8.178653220301047,
SRB,2024,Serbia,0.0,0.0,,6871547,72.80891574,,,,,,0.0,
SSD,2020,South Sudan,3505.0,63.0,86.11,10913172,58.57353884,,,,,,0.5772840380413687,
SSD,2021,South Sudan,11305.0,72.0,62.96,10913172,58.57353884,268640.0,227262.0,181577.0,279468.0,2.0,0.6597531863329928,2.0824559532278974
SSD,2022,South Sudan,3558.0,3.0,53.65,10913172,58.57353884,575057.0,526243.0,482816.0,290977.0,2.0,0.027489716097208034,4.822090222714349
SSD,2023,South Sudan,451.0,9.0,,10913172,58.57353884,,,,,,0.0824691482916241,
SSD,2024,South Sudan,4.0,0.0,,10913172,58.57353884,,,,,,0.0,
STP,2020,Sao Tome and Principe,1014.0,17.0,,227393,71.17810896,,,,,,7.4760436776857695,
